Monday,Tuesday,Wednesday,Thursday,Friday,Monday2,y
2035,2021.3,2048.4,2045.3,2058,2089.7,1
2089.7,2092.5,2087.6,2112.7,2130.2,2117,1
2117,2133.2,2135,2115.7,2117,2101.5,1
2101.5,2097,2093.2,2118.2,2118.6,2099.3,1
2099.3,2102.2,2126.2,2118.7,2109.5,2070.3,-1
2070.3,2053.3,2025.2,2001.6,1994,1999.5,-1
1999.5,2000.5,2010.1,1992.1,2005.2,1991.8,1
1991.8,1983,1984.1,1936.1,1925.4,1946.9,-1
1946.9,1911,1918.9,1918.5,1922.6,1930.8,1
1930.8,1965,1969.8,1979.3,1981.9,1972.3,1
2024.8,2039.6,2059.1,2078.1,2096.9,2086.7,1
2086.7,2110.5,2095.3,2087.1,2065.1,2083.2,-1
2141.8,2136.7,2143.7,2148.7,2139.8,2130.4,-1
2130.4,2122.4,2096.4,2106.6,2083.9,2092.3,-1
2179.3,2201.9,2199.1,2214.4,2184.9,2199.6,-1
2199.6,2193,2182.9,2184.3,2201.9,2197.5,1
2197.5,2229.1,2240.8,2234.4,2230,2218.7,-1
2218.7,2220,2241.5,2240.7,2236,2243.4,-1
2243.4,2237.7,2221.8,2218.7,2232.9,2208.5,1
2208.5,2227.6,2252.9,2260.3,2263.5,2269.4,1
2269.4,2258.9,2263.4,2262.9,2249.3,2241.1,-1
2241.1,2231.6,2240.1,2238.3,2233.1,2250.3,-1
2250.3,2264.8,2277.1,2268,2273.7,2260.8,1
2260.8,2270.8,2295.5,2300,2317,2301.4,1
2301.4,2311.3,2305.1,2287.3,2211.8,2208.4,-1
2208.4,2227.9,2185.4,2171.9,2187,2205,1
2168.7,2138.8,2145.3,2158.1,2196.8,2191.4,1
2191.4,2201,2194.8,2179.6,2170.5,2107.4,-1
2107.4,2113.6,2150.1,2131.8,2096.1,2146.1,-1
2146.1,2167.9,2163.2,2184,2181.7,2165.8,-1
2165.8,2175,2172.3,2192.8,2172.2,2175.3,-1
2175.3,2197.3,2186.2,2200.7,2201.3,2218.3,1
2218.3,2205.1,2193.3,2192.3,2198.2,2238.1,1
2238.1,2241.5,2245.6,2242.8,2260.7,2252.2,1
2252.2,2261,2267.2,2263.1,2267.5,2272.8,1
2272.8,2289.8,2277.8,2285.9,2284.8,2266.2,-1
2323.5,2349.7,2338.2,2329.5,2356.5,2359.1,1
2359.1,2376.9,2371.3,2380.9,2398.8,2390.5,1
2390.5,2384.5,2423.1,2443.7,2432.9,2446.1,-1
2446.1,2435.8,2470.1,2459.3,2452.1,2419,-1
2398.6,2382.6,2391.1,2412,2451.8,2442.3,1
2442.3,2444.9,2472.5,2473.6,2501.2,2488,1
2488,2479,2466,2480.9,2469.1,2407.8,-1
2407.8,2436,2426.4,2426.5,2458.2,2463.2,1
2463.2,2493.3,2485.9,2504.1,2504.2,2510.3,1
2510.3,2499.3,2525.4,2508.4,2485.9,2489.1,-1
2545.9,2538.4,2524.2,2535.5,2536.5,2545.9,1
2545.9,2550.2,2538.3,2532.4,2537.2,2506.5,1
2468.9,2479.5,2472.6,2469.4,2468.8,2496.2,-1
2558.8,2546.4,2568.9,2567.5,2548.8,2546.1,-1
2546.1,2549.3,2554.3,2539.7,2540.1,2566.4,1
2566.4,2573,2573.7,2551.6,2561.4,2564,1
2564,2572.3,2569,2577.4,2583.5,2551,1
2551,2562.2,2567.4,2575.5,2544.3,2550.5,-1
2482.4,2475.1,2447.8,2465,2470.3,2477.8,1
2477.8,2457.5,2473.4,2494.5,2508.7,2520.9,1
2520.9,2522.5,2531.9,2538.2,2525.6,2528.2,-1
2528.2,2539.4,2538.7,2546.3,2548.4,2562.8,1
2562.8,2560.3,2543.7,2557.3,2555.2,2552.4,-1
2552.4,2558.8,2563.2,2560.1,2543.8,2532.9,-1
2532.9,2510.8,2532.4,2529.5,2517,2548.7,-1
2548.7,2570.1,2566.8,2570.3,2596,2629.9,1
2629.9,2628.1,2625.7,2624.4,2646.1,2627,1
2627,2638.5,2659,2666.6,2659,2651.9,-1
2702.6,2691.2,2703,2680.8,2686,2693.9,1
2693.9,2728.5,2714.9,2716.3,2734.8,2729,1
2729,2719,2699.5,2678.4,2674.2,2703.8,-1
2703.8,2673.6,2678.7,2659.3,2683.3,2671.9,1
2671.9,2691.3,2729.2,2713.2,2739.8,2728.3,1
2728.3,2734.3,2773.4,2777,2795.8,2763.8,1
2763.8,2764.1,2774.5,2772.3,2763.7,2799.2,-1
2799.2,2810.6,2797,2817.5,2845.5,2858.6,1
2858.6,2887,2866.1,2909.9,2792,2857.2,-1
2857.2,2891,2841.1,2847.1,2799.7,2855.8,-1
2855.8,2815.1,2820.8,2807.8,2854.5,2845.6,1
2881.3,2886.1,2906.3,2892.6,2933.4,2955,1
2955,2949,2988.5,2993.3,3001.4,3030.7,1
3030.7,2976.7,3028.7,3033.5,2998.2,2994.5,-1
2994.5,2989.3,2999.2,3017.3,3035.2,3062.3,1
3062.3,3067.1,3098,3104.1,3138,3184.4,1
3184.4,3187.6,3216.1,3229.5,3248.2,3232.6,1
3232.6,3276.2,3233.8,3196,3184.1,3184.2,-1
3184.2,3233.2,3237.9,3276.7,3259.6,3263.9,-1
3263.9,3320.7,3365,3417.6,3376.2,3436.1,-1
3436.1,3460.6,3415.4,3349.8,3359.3,3351,1
3351,3291.2,3315.9,3264.7,3298.2,3321.8,1
3312.9,3329.8,3359.5,3351.5,3340.1,3279.9,-1
3279.9,3327.7,3353.5,3383.3,3344.4,3347.6,-1
3347.6,3340.3,3396,3397.4,3374.1,3363.1,-1
3596.4,3655.6,3651.6,3684.6,3700.5,3668.6,1
3668.6,3671.2,3671.9,3737.2,3752.4,3750,1
3750,3721.2,3730.6,3777.6,3788.5,3748.8,1
3748.8,3761.1,3819.5,3820.2,3809.9,3766.9,-1
3766.9,3834.8,3867.5,3939.7,3946.7,4003.4,1
4003.4,4030.1,4027,4000.7,4074.3,4142.2,1
4140,4297.6,4384.8,4320.5,4368.5,4400.3,1
4400.3,4377.7,4458.7,4405.5,4337,4302.5,-1
4302.5,4325.9,4364.3,4428.1,4342.3,4333.2,-1
4333.2,4377.5,4237.1,4195.5,4077.6,4080.6,-1
4080.6,4190.5,4251.9,4204.8,4090.1,4076.8,-1
4076.8,3993.7,3992,3897.4,3919.8,4001.8,1
4001.8,4127.3,4062.1,4093.4,4073.7,4131.3,-1
4131.3,4104.6,4028,3890.2,3796.6,3869.5,-1
3869.5,3995.7,3970.4,4004,3983.1,4096.9,-1
4096.9,4091.8,4151,4104.9,4135.1,4116.5,1
4326.4,4311.1,4267.4,4179.9,4164.6,4225.3,-1
4225.3,4215.2,4168.6,4149.9,4049.2,4069.3,-1
4069.3,4172.5,4124.9,3976.4,3981.4,3871.4,1
3871.4,3645.7,3806.7,3748.9,3753.7,3847.7,1
3847.7,3784.8,3841.4,3813.9,3715.4,3728.4,-1
3728.4,3734.8,3697.5,3701.9,3676.7,3816.7,-1
3816.7,3844.1,3876.9,3931.8,3941.9,3832.1,1
3832.1,3850.1,3926.9,3962,3972.1,4125.9,1
4125.9,4096.4,4074.6,4159.7,4191.8,4208.1,1
4208.1,4187.1,4117.27,4016.7,4061.9,4029.1,1
4029.1,4150.3,4154.6,4162.9,4055.4,4125.5,-1
4417,4360.1,4340,4293.6,4237.8,4134.6,-1
4134.6,4150.1,4145.4,4140.2,4216.2,4290.1,1
4290.1,4310.8,4250.5,4238.8,4222.2,4266.3,-1
4266.3,4316.1,4385.3,4444.5,4442.5,4529.9,-1
4529.9,4529.2,4509.3,4494.7,4536.9,4519.6,1
4519.6,4558.6,4552.5,4509.4,4522.4,4535.6,1
4535.6,4627.4,4611.7,4581.1,4583,4610.7,1
4610.7,4604.6,4704.6,4695.8,4693.9,4781.6,-1
4781.6,4759.6,4690.5,4676.4,4762.7,4828.9,1
4828.9,4852.2,4862.4,4838.7,4872.2,4905.6,1
4905.6,4945.9,4908.6,4949.9,5045.2,5014.1,1
5014.1,5064.4,5114.1,5029,5066.9,5069.9,1
5069.9,5097.3,5135.4,5179,5254.3,5345.9,1
5407.9,5373.8,5312.3,5262.6,5144.4,5002.7,-1
5314.66,5232.03,5229.8,5186.23,5257.58,5341.69,1
5341.69,5297.35,5376.88,5361.22,5393.14,5342.85,1
5527.32,5591.57,5709.36,5718.06,5702.61,5654.75,-1
5654.75,5718.71,5779.91,5866.63,5870.42,5915.13,1
5915.13,5897.44,5906.85,5904.1,5953.16,5918.37,1
5918.37,5960.98,6013.14,5996.77,5982.42,6019.48,-1
6171.43,6165.52,6110.73,6058.45,6035.28,5885,-1
5885,5889.01,5853.63,5880.87,5873.92,5758.77,-1
5758.77,5756.2,5632.51,5517.64,5581.22,5476.25,1
5476.25,5268.4,5402.37,5356.23,5447.9,5456.58,1
5456.58,5568.88,5596.41,5488.22,5163.51,5234.88,-1
5234.88,5372.76,5231.61,5060.84,4993.54,4833.89,-1
4833.89,4791.81,4970.5,4812.18,4820.25,4923.37,1
4923.37,5103.84,5040.87,4747.33,4737.15,4896.49,-1
4896.49,4831.22,4857.97,4669.51,4598.58,4433.87,-1
4433.87,4575.15,4699.39,4646.25,4561.58,4653.94,-1
4653.94,4578.27,4474.51,4226.49,3962.5,4034.23,-1
4034.23,4156.64,4087.83,3896.08,3983.65,4225.49,1
4225.49,4274.48,4318.52,4399.05,4489.1,4458.4,1
4458.4,4595.82,4523.24,4454.28,4451.09,4577.74,-1
4577.74,4682.45,4536.34,4549.33,4671.12,4761.15,1
4761.15,4705.08,4841.72,4811.6,4836.22,4768.58,1
4768.58,4662.78,4717.7,4639.89,4639.65,4783.77,-1
4783.77,4702.63,4698.72,4795.69,4911.88,5019.12,1
5019.12,4958.82,4944.37,5051.63,5121.48,5022.7,1
5022.7,4781.73,4691.69,4787.08,4775.23,4713.96,-1
4713.96,4699.34,4663.68,4642.69,4536.2,4522.86,-1
4522.86,4574.5,4663.45,4723.81,4629.23,4780.93,-1
5252.36,5253.91,5443.62,5323.21,5392.84,5270.6,1
5270.6,5200.1,4931.8,4912.75,4960.22,5050.4,1
5050.4,5073.15,5143.06,5156.67,5019.28,4982.45,-1
4982.45,4986.8,5061.18,5096.41,5159.96,5190.82,1
5190.82,5166.87,5085.66,5077.85,5080.77,5027.22,1
5027.22,4904.35,4796.82,4839.33,4888.74,4879.55,1
4879.55,4904.68,4810.09,4845.08,4802.38,4845.18,-1
4845.18,4987.56,5062.31,4958.58,4911.81,4784.31,-1
4784.31,4804.02,4697.67,4678.72,4839.09,4788.69,1
4788.69,4758.46,4721.41,4754.41,5008.16,5029.24,1
5029.24,5094.63,5077.43,5013.62,5099.48,5027.06,1
5027.06,4915.03,4780.13,4860.26,4775.17,4876.92,-1
5159.16,5199.18,5182.16,5181.01,5155.35,5220.15,-1
5220.15,5087.29,5163.29,5218.82,5195.42,5256.22,-1
5256.22,5347.5,5348.61,5334.42,5393.11,5377.56,1
5377.56,5383.21,5307.22,5274.45,5297.38,5205.95,1
5190.15,5211.08,5253.89,5206.47,5262.15,5268.87,1
5268.87,5342.86,5381.25,5412,5430.32,5468.47,1
5468.47,5468.67,5399.11,5327.6,5301.21,5356.95,-1
5625.62,5612.9,5588.5,5607.1,5638.95,5652.02,1
5652.02,5573.82,5610.89,5619.26,5619.94,5624.74,1
5624.74,5491.29,5414.17,5340.91,5310.63,5206.44,-1
5206.44,5224.16,5229.56,5052.32,5101.87,5129.5,1
5129.5,5107.68,5119.37,4978.45,5010.47,5087.3,1
5087.3,5000.87,5019.69,5127.43,5219.43,5257.1,1
5257.1,5259.91,5230.47,5186.85,5254.14,5301.98,1
5301.98,5324.02,5400.32,5389.34,5420.36,5392.53,1
5392.53,5270.77,5317.12,5189.92,5336.22,5400.55,1
5400.55,5391.36,5400.7,5436.86,5483.95,5446.91,1
5446.91,5401.47,5387.18,5304.42,5303.94,5351.98,-1
5351.98,5282.76,5238.76,5299.57,5186.53,5239.64,-1
5239.64,5119.1,5135.62,5149.83,5124.55,5218.86,-1
5218.86,5301.85,5353.32,5419.31,5419.26,5414.5,-1
5414.5,5358.46,5295.43,5220.29,5184.23,5156.28,-1
5156.28,5296.91,5291.23,5246.49,5357.75,5320.4,1
5320.4,5388.76,5363.86,5478.89,5525.4,5524.92,1
5524.92,5546.95,5560.87,5635.62,5658.1,5647.94,1
5647.94,5694.73,5742.42,5802.36,5791.05,5859.29,-1
5859.29,5909.52,5870.17,5950.05,5955.97,5819.89,1
5819.89,5814.74,5818.73,5961.45,5958.07,5888.88,-1
5888.88,5896.04,5933.84,5937.2,6119.17,6142.19,1
6142.19,6158.77,6115.59,6118.06,6097.9,6127.2,-1
6127.2,6187.99,6232.75,6341.29,6353.9,6378.66,1
